id,Opened,Closed,Status,ResponsibleAgency,Address,Category,RequestType,Request Details,Source,Supervisor District,Neighborhood,Updated,Point,x,y
2542707,6/28/13,7/2/13,Closed,DPW Ops Queue,"334 LEAVENWORTH ST, SAN FRANCISCO, CA, 94102",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/1/09 10:18,"[37.784064856022, -122.414240413531]",-122.4142404,37.78406486
2542697,6/28/13,7/2/13,Closed,DPW Ops Queue,"346 LEAVENWORTH ST, SAN FRANCISCO, CA, 94102",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/1/09 10:19,"[37.784172287476, -122.414262124397]",-122.4142621,37.78417229
2542687,6/28/13,7/3/13,Closed,DPW Ops Queue,"1010 MARKET ST, SAN FRANCISCO, CA, 94102",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/2/09 12:21,"[37.782169657492, -122.410541508627]",-122.4105415,37.78216966
2542421,6/28/13,7/2/13,Closed,DPW Ops Queue,"120 LEXINGTON ST, SAN FRANCISCO, CA, 94110",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,9,Mission,7/1/09 9:23,"[37.761310849, -122.420979929]",-122.4209799,37.76131085
2542080,6/28/13,7/3/13,Closed,DPW Ops Queue,"75 OAK GROVE ST, SAN FRANCISCO, CA, 94107",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,South of Market,7/2/09 12:21,"[37.777278958469, -122.401764282749]",-122.4017643,37.77727896
2541877,6/28/13,7/28/13,Closed,DPW Ops Queue,Intersection of BATTERY ST and JACKSON ST,Street and Sidewalk Cleaning,Street_Cleaning,Human_waste_or_urine,Voice In,3,Financial District,7/27/09 7:02,"[37.7967769200524, -122.400681496993]",-122.4006815,37.79677692
2541772,6/28/13,7/3/13,Closed,DPW Ops Queue,Intersection of HOWARD ST and LANGTON ST,Street and Sidewalk Cleaning,Street_Cleaning,Human_waste_or_urine,Voice In,6,South of Market,7/2/09 12:20,"[37.7775533787107, -122.409922657084]",-122.4099227,37.77755338
2540276,6/27/13,6/30/13,Closed,DPW Ops Queue,"2817 FOLSOM ST, SAN FRANCISCO, CA, 94110",Street and Sidewalk Cleaning,Street_Cleaning,Human_waste_or_urine,Voice In,9,Mission,6/29/09 1:01,"[37.752216207348, -122.413987667174]",-122.4139877,37.75221621
2540105,6/27/13,7/3/13,Closed,DPW Ops Queue,Intersection of CONTINUUM WAY and GOLDEN GATE AVE,Street and Sidewalk Cleaning,Street_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/2/09 19:21,"[37.7817591427414, -122.414683078848]",-122.4146831,37.78175914
2540101,6/27/13,7/3/13,Closed,DPW Ops Queue,Intersection of BREEN PL and MCALLISTER ST,Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/2/09 19:18,"[37.7806150407705, -122.416137978855]",-122.416138,37.78061504
2540092,6/27/13,7/3/13,Closed,DPW Ops Queue,"281 ELLIS ST, SAN FRANCISCO, CA, 94102",Street and Sidewalk Cleaning,Street_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/2/09 19:19,"[37.785062562453, -122.410796066826]",-122.4107961,37.78506256
2540082,6/27/13,7/3/13,Closed,DPW Ops Queue,"78 LEAVENWORTH ST, SAN FRANCISCO, CA, 94102",Street and Sidewalk Cleaning,Street_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/2/09 19:21,"[37.781461191772, -122.413714253065]",-122.4137143,37.78146119
2540080,6/27/13,7/3/13,Closed,DPW Ops Queue,"400 HYDE ST, SAN FRANCISCO, CA, 94109",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/2/09 19:20,"[37.784485366907, -122.416009045294]",-122.416009,37.78448537
2540074,6/27/13,7/3/13,Closed,DPW Ops Queue,Intersection of TAYLOR ST and TURK ST,Street and Sidewalk Cleaning,Street_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/2/09 19:20,"[37.7832142923006, -122.410764953722]",-122.410765,37.78321429
2540072,6/27/13,8/13/13,Closed,DPW Ops Queue,Intersection of MARKET ST and POWELL ST,Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,8/12/09 10:06,"[37.7845600181277, -122.407337077679]",-122.4073371,37.78456002
2540066,6/27/13,7/3/13,Closed,DPW Ops Queue,Intersection of MASON ST and TURK ST,Street and Sidewalk Cleaning,Street_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/2/09 12:20,"[37.7832878821779, -122.408952214449]",-122.4089522,37.78328788
2540054,6/27/13,6/29/13,Closed,DPW Ops Queue,"964 MARKET ST, SAN FRANCISCO, CA, 94102",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,6/28/09 5:19,"[37.783038065407, -122.409441987203]",-122.409442,37.78303807
2539717,6/27/13,7/3/13,Closed,DPW Ops Queue,Intersection of ANTONIO ST and JONES ST,Street and Sidewalk Cleaning,Street_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/2/09 19:19,"[37.7853084289981, -122.412871991954]",-122.412872,37.78530843
2538901,6/27/13,7/3/13,Closed,DPW Ops Queue,Intersection of OFARRELL ST and SHANNON ST,Street and Sidewalk Cleaning,Street_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/2/09 12:19,"[37.7858929127475, -122.412147392916]",-122.4121474,37.78589291
2538788,6/27/13,7/2/13,Closed,DPW Ops Queue,"4400 18TH ST, SAN FRANCISCO, CA, 94114",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,8,Castro/Upper Market,7/1/09 9:21,"[37.760745101473, -122.438302842524]",-122.4383028,37.7607451
2538552,6/27/13,7/2/13,Closed,DPW Ops Queue,Intersection of 15TH ST and WIESE ST,Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Twitter,9,Mission,7/1/09 9:22,"[37.766624564128, -122.42063775083]",-122.4206378,37.76662456
2538545,6/27/13,7/2/13,Closed,DPW Ops Queue,"550 LARKIN ST, SAN FRANCISCO, CA, 94102",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/1/09 10:18,"[37.782862609101, -122.417367330191]",-122.4173673,37.78286261
2538532,6/27/13,7/2/13,Closed,DPW Ops Queue,Intersection of LARKIN ST and OFARRELL ST,Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/1/09 10:19,"[37.785167113148, -122.417901555792]",-122.4179016,37.78516711
2538522,6/27/13,7/2/13,Closed,DPW Ops Queue,Intersection of EDDY ST and LARKIN ST,Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/1/09 10:18,"[37.783310773957, -122.41752862123]",-122.4175286,37.78331077
2538513,6/27/13,7/2/13,Closed,DPW Ops Queue,"399 GOLDEN GATE AVE, SAN FRANCISCO, CA, 94102",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/1/09 10:18,"[37.781399437075, -122.417085544306]",-122.4170855,37.78139944
2538505,6/27/13,7/3/13,Closed,DPW Ops Queue,Intersection of HYDE ST and MCALLISTER ST,Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/2/09 11:03,"[37.7807190524428, -122.415315573689]",-122.4153156,37.78071905
2538497,6/27/13,7/3/13,Closed,DPW Ops Queue,"230 JONES ST, SAN FRANCISCO, CA, 94102",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/2/09 11:03,"[37.783307612021, -122.412401693817]",-122.4124017,37.78330761
2538493,6/27/13,7/3/13,Closed,DPW Ops Queue,"Tenderloin Recreation Center,  570 ELLIS ST, SAN FRANCISCO, CA, 94109",Street and Sidewalk Cleaning,Street_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/2/09 10:19,"[37.784820978, -122.415403]",-122.415403,37.78482098
2538488,6/27/13,7/2/13,Closed,DPW Ops Queue,"1182 MARKET ST, SAN FRANCISCO, CA, 94102",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/1/09 10:18,"[37.779182807406, -122.414322962791]",-122.414323,37.77918281
2538480,6/27/13,7/3/13,Closed,DPW Ops Queue,"398 EDDY ST, SAN FRANCISCO, CA, 94102",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/2/09 10:20,"[37.78383534, -122.414238903]",-122.4142389,37.78383534
2538476,6/27/13,7/2/13,Closed,DPW Ops Queue,"1066 MARKET ST, SAN FRANCISCO, CA, 94102",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/1/09 10:18,"[37.781583698698, -122.411283388018]",-122.4112834,37.7815837
2538471,6/27/13,7/2/13,Closed,DPW Ops Queue,Intersection of 6TH ST and MARKET ST,Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/1/09 10:17,"[37.7822305956242, -122.41029213588]",-122.4102921,37.7822306
2538460,6/27/13,7/3/13,Closed,DPW Ops Queue,"440 ELLIS ST, SAN FRANCISCO, CA, 94102",Street and Sidewalk Cleaning,Street_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/2/09 10:20,"[37.784825498252, -122.413473098043]",-122.4134731,37.7848255
2538396,6/27/13,6/30/13,Closed,DPW Ops Queue,Intersection of 16TH ST and FOLSOM ST,Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,9,Mission,6/29/09 1:01,"[37.7653147489607, -122.415308353435]",-122.4153084,37.76531475
2538363,6/27/13,7/5/13,Closed,DPW Ops Queue,Intersection of 16TH ST and POTRERO AVE,Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,10,Mission,7/4/09 14:17,"[37.7657833569615, -122.407534195875]",-122.4075342,37.76578336
2537928,6/27/13,6/30/13,Closed,DPW Ops Queue,Intersection of CUMBERLAND ST and SANCHEZ ST,Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,8,Castro/Upper Market,6/29/09 1:01,"[37.75875567, -122.430343889]",-122.4303439,37.75875567
2537894,6/27/13,7/5/13,Closed,DPW Ops Queue,Intersection of MISSION ST and RUTH ST,Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,11,Excelsior,7/4/09 14:17,"[37.7230445518637, -122.436040037661]",-122.43604,37.72304455
2537713,6/27/13,6/30/13,Closed,DPW Ops Queue,"409 CAPP ST, SAN FRANCISCO, CA, 94110",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,9,Mission,6/29/09 5:17,"[37.760134137741, -122.418032758232]",-122.4180328,37.76013414
2537540,6/27/13,6/27/13,Closed,Clear Channel - Transit Queue,"3107 16TH ST, SAN FRANCISCO, CA, 94110",Street and Sidewalk Cleaning,Transit_Shelter_Platform,Human_waste_or_urine,Voice In,8,Mission,6/26/09 10:35,"[37.76485217279, -122.422053723909]",-122.4220537,37.76485217
2537022,6/26/13,7/2/13,Closed,DPW Ops Queue,Intersection of DORE ST and FOLSOM ST,Street and Sidewalk Cleaning,Street_Cleaning,Human_waste_or_urine,Voice In,6,South of Market,7/1/09 12:21,"[37.7732847152927, -122.41222492435]",-122.4122249,37.77328472
2536824,6/26/13,6/28/13,Closed,DPW Ops Queue,Intersection of FORD ST and NOE ST,Street and Sidewalk Cleaning,Street_Cleaning,Human_waste_or_urine,Voice In,8,Castro/Upper Market,6/27/09 2:15,"[37.7618204608986, -122.432871530989]",-122.4328715,37.76182046
2536625,6/26/13,6/26/13,Closed,Clear Channel - Transit Queue," 102 6TH ST, SAN FRANCISCO, CA, 94103",Street and Sidewalk Cleaning,Transit_Shelter_Platform,Human_waste_or_urine,Voice In,6,South of Market,6/25/09 19:08,"[37.780712934, -122.40876628]",-122.4087663,37.78071293
2536028,6/26/13,7/3/13,Closed,DPW Ops Queue,"1063 MARKET ST, SAN FRANCISCO, CA, 94103",Street and Sidewalk Cleaning,Street_Cleaning,Human_waste_or_urine,Voice In,6,South of Market,7/2/09 20:19,"[37.780838305, -122.411370401]",-122.4113704,37.78083831
2535968,6/26/13,6/27/13,Closed,Clear Channel - Transit Queue,Intersection of GEARY ST and KEARNY ST,Street and Sidewalk Cleaning,Transit_Shelter_Platform,Human_waste_or_urine,Voice In,3,Financial District,6/26/09 6:44,"[37.7879629428647, -122.403491782807]",-122.4034918,37.78796294
2535883,6/26/13,6/28/13,Closed,DPW Ops Queue,"240 TAYLOR ST, SAN FRANCISCO, CA, 94102",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,6/27/09 13:18,"[37.784535873582, -122.410961126032]",-122.4109611,37.78453587
2535877,6/26/13,6/28/13,Closed,DPW Ops Queue,"500 TURK ST, SAN FRANCISCO, CA, 94102",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,6/27/09 13:18,"[37.782426877748, -122.417399426107]",-122.4173994,37.78242688
2535863,6/26/13,6/28/13,Closed,DPW Ops Queue,Intersection of TAYLOR ST and TURK ST,Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,6/27/09 13:18,"[37.7832142923006, -122.410764953722]",-122.410765,37.78321429
2535855,6/26/13,6/28/13,Closed,DPW Ops Queue,"440 ELLIS ST, SAN FRANCISCO, CA, 94102",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,6/27/09 13:18,"[37.784825498252, -122.413473098043]",-122.4134731,37.7848255
2535600,6/26/13,7/23/13,Closed,DPW Ops Queue,Intersection of GREEN ST and SANSOME ST,Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,3,North Beach,7/22/09 10:04,"[37.8003069869353, -122.40260421885]",-122.4026042,37.80030699
2535289,6/26/13,6/28/13,Closed,DPW Ops Queue,Intersection of STOCKTON ST and UNION ST,Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,3,North Beach,6/27/09 13:17,"[37.8004450268504, -122.409189780375]",-122.4091898,37.80044503
2534950,6/26/13,6/28/13,Closed,DPW Ops Queue,"3232 MISSION ST, SAN FRANCISCO, CA, 94110",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,9,Bernal Heights,6/27/09 8:18,"[37.744958778415, -122.420375317872]",-122.4203753,37.74495878
2534690,6/26/13,7/5/13,Closed,DPW Ops Queue,"2424 PINE ST, SAN FRANCISCO, CA, 94115",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,2,Western Addition,7/4/09 13:27,"[37.78789632, -122.436329664]",-122.4363297,37.78789632
2534633,6/26/13,7/2/13,Closed,DPW Ops Queue,"735 O'FARRELL ST, SAN FRANCISCO, CA, 94109",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/1/09 12:22,"[37.785019333, -122.416854896]",-122.4168549,37.78501933
2534620,6/26/13,7/2/13,Closed,DPW Ops Queue,"301 ELLIS ST, SAN FRANCISCO, CA, 94102",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/1/09 12:21,"[37.785014093639, -122.411178147702]",-122.4111781,37.78501409
2534613,6/26/13,7/2/13,Closed,DPW Ops Queue,"623 ELLIS ST, SAN FRANCISCO, CA, 94109",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/1/09 12:22,"[37.7843432664, -122.416454592985]",-122.4164546,37.78434327
2534606,6/26/13,7/2/13,Closed,DPW Ops Queue,"444 HYDE ST, SAN FRANCISCO, CA, 94109",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/1/09 12:21,"[37.784876654745, -122.416088375863]",-122.4160884,37.78487665
2534599,6/26/13,6/28/13,Closed,DPW Ops Queue,Intersection of LEAVENWORTH ST and TURK ST,Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,6/27/09 13:17,"[37.7827945054955, -122.414053905579]",-122.4140539,37.78279451
2534591,6/26/13,6/28/13,Closed,DPW Ops Queue,"124 JONES ST, SAN FRANCISCO, CA, 94102",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,6/27/09 10:21,"[37.782324133812, -122.412202130774]",-122.4122021,37.78232413
2534587,6/26/13,6/26/13,Closed,DPW Ops Queue,Intersection of TAYLOR ST and TURK ST,Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,6/25/09 18:19,"[37.7832142923006, -122.410764953722]",-122.410765,37.78321429
2534537,6/26/13,7/2/13,Closed,DPW Ops Queue,Intersection of OFARRELL ST and POLK ST,Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,Downtown/Civic Center,7/1/09 12:22,"[37.7849601239296, -122.419547867346]",-122.4195479,37.78496012
2534526,6/26/13,7/3/13,Closed,DPW Ops Queue,"955 NATOMA ST, SAN FRANCISCO, CA, 94103",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,South of Market,7/2/09 20:18,"[37.773919842404, -122.415515434084]",-122.4155154,37.77391984
2534220,6/26/13,7/2/13,Closed,DPW Ops Queue,"33 RAUSCH ST, SAN FRANCISCO, CA, 94103",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,6,South of Market,7/1/09 12:21,"[37.776808359, -122.409740497]",-122.4097405,37.77680836
2534010,6/26/13,6/28/13,Closed,DPW Ops Queue,"3567 18TH ST, SAN FRANCISCO, CA, 94110",Street and Sidewalk Cleaning,Sidewalk_Cleaning,Human_waste_or_urine,Voice In,8,Mission,6/27/09 8:17,"[37.76155542442, -122.423063697315]",-122.4230637,37.76155542
